"";"sample";"sampling";"species";"counts";"gf";"date";"morp";"magnification";"info";"cells_ml";"temperature";"nutrients"
"332";98;7;"rhizo";1;6;"30.04.";"mix";20;NA;85,2;9;"Low"
"333";99;7;"rhizo";2;6;"30.04.";"mix";20;NA;170,4;9;"Low"
"334";100;7;"rhizo";3;6;"30.04.";"mix";20;NA;255,6;9;"HI"
"335";101;7;"rhizo";3;6;"30.04.";"mix";20;NA;255,6;9;"HI"
"336";102;7;"rhizo";2;6;"30.04.";"mix";20;NA;170,4;9;"HI"
"337";157;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;12;"Low"
"338";158;7;"rhizo";2;6;"30.04.";"mix";20;NA;170,4;12;"Low"
"339";159;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;12;"Low"
"340";160;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;12;"HI"
"341";161;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;12;"HI"
"342";162;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;12;"HI"
"343";217;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;15;"Low"
"344";218;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;15;"Low"
"345";219;7;"rhizo";2;6;"30.04.";"mix";20;NA;170,4;15;"Low"
"346";220;7;"rhizo";1;6;"30.04.";"mix";20;NA;85,2;15;"HI"
"347";221;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;15;"HI"
"348";222;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;15;"HI"
"349";277;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"350";278;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"351";279;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"352";280;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;18;"HI"
"353";281;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;18;"HI"
"354";282;7;"rhizo";1;6;"30.04.";"mix";20;NA;85,2;18;"HI"
"355";337;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"356";338;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"357";339;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"358";340;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"HI"
"359";341;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"HI"
"360";342;7;"rhizo";0;6;"30.04.";"mix";20;NA;0;21;"HI"
"361";97;7;"guido";0;6;"30.04.";"mix";20;NA;0;9;"Low"
"362";98;7;"guido";0;6;"30.04.";"mix";20;NA;0;9;"Low"
"363";99;7;"guido";2;6;"30.04.";"mix";20;NA;170,4;9;"Low"
"364";100;7;"guido";0;6;"30.04.";"mix";20;NA;0;9;"HI"
"365";101;7;"guido";1;6;"30.04.";"mix";20;NA;85,2;9;"HI"
"366";102;7;"guido";1;6;"30.04.";"mix";20;NA;85,2;9;"HI"
"367";157;7;"guido";0;6;"30.04.";"mix";20;NA;0;12;"Low"
"368";158;7;"guido";0;6;"30.04.";"mix";20;NA;0;12;"Low"
"369";159;7;"guido";0;6;"30.04.";"mix";20;NA;0;12;"Low"
"370";160;7;"guido";0;6;"30.04.";"mix";20;NA;0;12;"HI"
"371";161;7;"guido";2;6;"30.04.";"mix";20;NA;170,4;12;"HI"
"372";162;7;"guido";0;6;"30.04.";"mix";20;NA;0;12;"HI"
"373";217;7;"guido";0;6;"30.04.";"mix";20;NA;0;15;"Low"
"374";218;7;"guido";0;6;"30.04.";"mix";20;NA;0;15;"Low"
"375";219;7;"guido";0;6;"30.04.";"mix";20;NA;0;15;"Low"
"376";220;7;"guido";2;6;"30.04.";"mix";20;NA;170,4;15;"HI"
"377";221;7;"guido";1;6;"30.04.";"mix";20;NA;85,2;15;"HI"
"378";222;7;"guido";2;6;"30.04.";"mix";20;NA;170,4;15;"HI"
"379";277;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"380";278;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"381";279;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"Low"
"382";280;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"HI"
"383";281;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"HI"
"384";282;7;"guido";0;6;"30.04.";"mix";20;NA;0;18;"HI"
"385";337;7;"guido";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"386";338;7;"guido";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"387";339;7;"guido";0;6;"30.04.";"mix";20;NA;0;21;"Low"
"388";340;7;"guido";0;6;"30.04.";"mix";20;NA;0;21;"HI"
"389";341;7;"guido";2;6;"30.04.";"mix";20;NA;170,4;21;"HI"
"390";342;7;"guido";0;6;"30.04.";"mix";20;NA;0;21;"HI"
"391";97;7;"dity";124;6;"30.04.";"mix";10;NA;2641,2;9;"Low"
"392";98;7;"dity";124;6;"30.04.";"mix";10;NA;2641,2;9;"Low"
"393";99;7;"dity";94;6;"30.04.";"mix";10;NA;2002,2;9;"Low"
"394";100;7;"dity";68;6;"30.04.";"mix";10;NA;1448,4;9;"HI"
"395";101;7;"dity";125;6;"30.04.";"mix";10;NA;2662,5;9;"HI"
"396";102;7;"dity";102;6;"30.04.";"mix";10;NA;2172,6;9;"HI"
"397";157;7;"dity";111;6;"30.04.";"mix";10;NA;2364,3;12;"Low"
"398";158;7;"dity";146;6;"30.04.";"mix";10;NA;3109,8;12;"Low"
"399";159;7;"dity";109;6;"30.04.";"mix";10;NA;2321,7;12;"Low"
"400";160;7;"dity";130;6;"30.04.";"mix";10;NA;2769;12;"HI"
"401";161;7;"dity";116;6;"30.04.";"mix";10;NA;2470,8;12;"HI"
"402";162;7;"dity";120;6;"30.04.";"mix";10;NA;2556;12;"HI"
"403";217;7;"dity";131;6;"30.04.";"mix";10;NA;2790,3;15;"Low"
"404";218;7;"dity";129;6;"30.04.";"mix";10;NA;2747,7;15;"Low"
"405";219;7;"dity";98;6;"30.04.";"mix";10;NA;2087,4;15;"Low"
"406";220;7;"dity";109;6;"30.04.";"mix";10;NA;2321,7;15;"HI"
"407";221;7;"dity";147;6;"30.04.";"mix";10;NA;3131,1;15;"HI"
"408";222;7;"dity";140;6;"30.04.";"mix";10;NA;2982;15;"HI"
"409";277;7;"dity";151;6;"30.04.";"mix";10;NA;3216,3;18;"Low"
"410";278;7;"dity";139;6;"30.04.";"mix";10;NA;2960,7;18;"Low"
"411";279;7;"dity";161;6;"30.04.";"mix";10;NA;3429,3;18;"Low"
"412";280;7;"dity";237;6;"30.04.";"mix";10;NA;5048,1;18;"HI"
"413";281;7;"dity";208;6;"30.04.";"mix";10;NA;4430,4;18;"HI"
"414";282;7;"dity";127;6;"30.04.";"mix";10;NA;2705,1;18;"HI"
"415";337;7;"dity";108;6;"30.04.";"mix";10;NA;2300,4;21;"Low"
"416";338;7;"dity";113;6;"30.04.";"mix";10;NA;2406,9;21;"Low"
"417";339;7;"dity";113;6;"30.04.";"mix";10;NA;2406,9;21;"Low"
"418";340;7;"dity";112;6;"30.04.";"mix";10;NA;2385,6;21;"HI"
"419";341;7;"dity";111;6;"30.04.";"mix";10;NA;2364,3;21;"HI"
"420";342;7;"dity";105;6;"30.04.";"mix";10;NA;2236,5;21;"HI"
"421";97;7;"odontella";3;10;"30.04.";"mix";10;NA;38,34;9;"Low"
"422";98;7;"odontella";0;10;"30.04.";"mix";10;NA;0;9;"Low"
"423";99;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;9;"Low"
"424";100;7;"odontella";0;10;"30.04.";"mix";10;NA;0;9;"HI"
"425";101;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;9;"HI"
"426";102;7;"odontella";0;10;"30.04.";"mix";10;NA;0;9;"HI"
"427";157;7;"odontella";2;10;"30.04.";"mix";10;NA;25,56;12;"Low"
"428";158;7;"odontella";2;10;"30.04.";"mix";10;NA;25,56;12;"Low"
"429";159;7;"odontella";0;10;"30.04.";"mix";10;NA;0;12;"Low"
"430";160;7;"odontella";0;10;"30.04.";"mix";10;NA;0;12;"HI"
"431";161;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;12;"HI"
"432";162;7;"odontella";0;10;"30.04.";"mix";10;NA;0;12;"HI"
"433";217;7;"odontella";0;10;"30.04.";"mix";10;NA;0;15;"Low"
"434";218;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;15;"Low"
"435";219;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;15;"Low"
"436";220;7;"odontella";5;10;"30.04.";"mix";10;NA;63,9;15;"HI"
"437";221;7;"odontella";0;10;"30.04.";"mix";10;NA;0;15;"HI"
"438";222;7;"odontella";0;10;"30.04.";"mix";10;NA;0;15;"HI"
"439";277;7;"odontella";1;10;"30.04.";"mix";10;NA;12,78;18;"Low"
"440";278;7;"odontella";0;10;"30.04.";"mix";10;NA;0;18;"Low"
"441";279;7;"odontella";0;10;"30.04.";"mix";10;NA;0;18;"Low"
"442";280;7;"odontella";6;10;"30.04.";"mix";10;NA;76,68;18;"HI"
"443";281;7;"odontella";0;10;"30.04.";"mix";10;NA;0;18;"HI"
"444";282;7;"odontella";2;10;"30.04.";"mix";10;NA;25,56;18;"HI"
"445";337;7;"odontella";0;10;"30.04.";"mix";10;"viel bakterien";0;21;"Low"
"446";338;7;"odontella";0;10;"30.04.";"mix";10;"viel bakterien";0;21;"Low"
"447";339;7;"odontella";0;10;"30.04.";"mix";10;"viel bakterien";0;21;"Low"
"448";340;7;"odontella";3;10;"30.04.";"mix";10;"viel bakterien";38,34;21;"HI"
"449";341;7;"odontella";1;10;"30.04.";"mix";10;"viel bakterien";12,78;21;"HI"
"450";342;7;"odontella";0;10;"30.04.";"mix";10;"viel bakterien";0;21;"HI"
"451";103;7;"asterio";268;6;"30.04.";"pulse";40;NA;91334,4;9;"Low"
"452";104;7;"asterio";209;6;"30.04.";"pulse";40;NA;71227,2;9;"Low"
"453";105;7;"asterio";202;6;"30.04.";"pulse";40;NA;68841,6;9;"Low"
"454";106;7;"asterio";117;6;"30.04.";"pulse";40;NA;39873,6;9;"HI"
"455";107;7;"asterio";86;6;"30.04.";"pulse";40;NA;29308,8;9;"HI"
"456";108;7;"asterio";96;6;"30.04.";"pulse";40;NA;32716,8;9;"HI"
"457";163;7;"asterio";136;6;"30.04.";"pulse";40;NA;46348,8;12;"Low"
"458";164;7;"asterio";115;6;"30.04.";"pulse";40;NA;39192;12;"Low"
"459";165;7;"asterio";169;6;"30.04.";"pulse";40;NA;57595,2;12;"Low"
"460";166;7;"asterio";71;6;"30.04.";"pulse";40;NA;24196,8;12;"HI"
"461";167;7;"asterio";70;6;"30.04.";"pulse";40;NA;23856;12;"HI"
"462";168;7;"asterio";70;6;"30.04.";"pulse";40;NA;23856;12;"HI"
"463";223;7;"asterio";229;6;"30.04.";"pulse";40;NA;78043,2;15;"Low"
"464";224;7;"asterio";205;6;"30.04.";"pulse";40;NA;69864;15;"Low"
"465";225;7;"asterio";207;6;"30.04.";"pulse";40;NA;70545,6;15;"Low"
"466";226;7;"asterio";134;6;"30.04.";"pulse";40;NA;45667,2;15;"HI"
"467";227;7;"asterio";48;6;"30.04.";"pulse";40;NA;16358,4;15;"HI"
"468";228;7;"asterio";185;6;"30.04.";"pulse";40;NA;63048;15;"HI"
"469";283;7;"asterio";238;6;"30.04.";"pulse";40;NA;81110,4;18;"Low"
"470";284;7;"asterio";233;6;"30.04.";"pulse";40;NA;79406,4;18;"Low"
"471";285;7;"asterio";305;6;"30.04.";"pulse";40;NA;103944;18;"Low"
"472";286;7;"asterio";134;6;"30.04.";"pulse";40;NA;45667,2;18;"HI"
"473";287;7;"asterio";125;6;"30.04.";"pulse";40;NA;42600;18;"HI"
"474";288;7;"asterio";153;6;"30.04.";"pulse";40;NA;52142,4;18;"HI"
"475";343;7;"asterio";294;6;"30.04.";"pulse";40;NA;100195,2;21;"Low"
"476";344;7;"asterio";214;6;"30.04.";"pulse";40;NA;72931,2;21;"Low"
"477";345;7;"asterio";192;6;"30.04.";"pulse";40;NA;65433,6;21;"Low"
"478";346;7;"asterio";198;6;"30.04.";"pulse";40;NA;67478,4;21;"HI"
"479";347;7;"asterio";147;6;"30.04.";"pulse";40;NA;50097,6;21;"HI"
"480";348;7;"asterio";45;6;"30.04.";"pulse";40;NA;15336;21;"HI"
"481";103;7;"rhizo";7;6;"30.04.";"pulse";20;NA;596,4;9;"Low"
"482";104;7;"rhizo";3;6;"30.04.";"pulse";20;NA;255,6;9;"Low"
"483";105;7;"rhizo";2;6;"30.04.";"pulse";20;NA;170,4;9;"Low"
"484";106;7;"rhizo";3;6;"30.04.";"pulse";20;NA;255,6;9;"HI"
"485";107;7;"rhizo";2;6;"30.04.";"pulse";20;NA;170,4;9;"HI"
"486";108;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;9;"HI"
"487";163;7;"rhizo";2;6;"30.04.";"pulse";20;NA;170,4;12;"Low"
"488";164;7;"rhizo";1;6;"30.04.";"pulse";20;NA;85,2;12;"Low"
"489";165;7;"rhizo";1;6;"30.04.";"pulse";20;NA;85,2;12;"Low"
"490";166;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;12;"HI"
"491";167;7;"rhizo";1;6;"30.04.";"pulse";20;NA;85,2;12;"HI"
"492";168;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;12;"HI"
"493";223;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;15;"Low"
"494";224;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;15;"Low"
"495";225;7;"rhizo";1;6;"30.04.";"pulse";20;NA;85,2;15;"Low"
"496";226;7;"rhizo";1;6;"30.04.";"pulse";20;NA;85,2;15;"HI"
"497";227;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;15;"HI"
"498";228;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;15;"HI"
"499";283;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"Low"
"500";284;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"Low"
"501";285;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"Low"
"502";286;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"HI"
"503";287;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"HI"
"504";288;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;18;"HI"
"505";343;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"506";344;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"507";345;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"508";346;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"509";347;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"510";348;7;"rhizo";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"511";103;7;"guido";0;6;"30.04.";"pulse";20;NA;0;9;"Low"
"512";104;7;"guido";2;6;"30.04.";"pulse";20;NA;170,4;9;"Low"
"513";105;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;9;"Low"
"514";106;7;"guido";0;6;"30.04.";"pulse";20;NA;0;9;"HI"
"515";107;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;9;"HI"
"516";108;7;"guido";0;6;"30.04.";"pulse";20;NA;0;9;"HI"
"517";163;7;"guido";0;6;"30.04.";"pulse";20;NA;0;12;"Low"
"518";164;7;"guido";0;6;"30.04.";"pulse";20;NA;0;12;"Low"
"519";165;7;"guido";2;6;"30.04.";"pulse";20;NA;170,4;12;"Low"
"520";166;7;"guido";0;6;"30.04.";"pulse";20;NA;0;12;"HI"
"521";167;7;"guido";0;6;"30.04.";"pulse";20;NA;0;12;"HI"
"522";168;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;12;"HI"
"523";223;7;"guido";0;6;"30.04.";"pulse";20;NA;0;15;"Low"
"524";224;7;"guido";0;6;"30.04.";"pulse";20;NA;0;15;"Low"
"525";225;7;"guido";0;6;"30.04.";"pulse";20;NA;0;15;"Low"
"526";226;7;"guido";3;6;"30.04.";"pulse";20;NA;255,6;15;"HI"
"527";227;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;15;"HI"
"528";228;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;15;"HI"
"529";283;7;"guido";2;6;"30.04.";"pulse";20;NA;170,4;18;"Low"
"530";284;7;"guido";0;6;"30.04.";"pulse";20;NA;0;18;"Low"
"531";285;7;"guido";0;6;"30.04.";"pulse";20;NA;0;18;"Low"
"532";286;7;"guido";0;6;"30.04.";"pulse";20;NA;0;18;"HI"
"533";287;7;"guido";1;6;"30.04.";"pulse";20;NA;85,2;18;"HI"
"534";288;7;"guido";0;6;"30.04.";"pulse";20;NA;0;18;"HI"
"535";343;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"536";344;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"537";345;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"Low"
"538";346;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"539";347;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"540";348;7;"guido";0;6;"30.04.";"pulse";20;NA;0;21;"HI"
"541";103;7;"dity";137;6;"30.04.";"pulse";10;NA;2918,1;9;"Low"
"542";104;7;"dity";156;6;"30.04.";"pulse";10;NA;3322,8;9;"Low"
"543";105;7;"dity";92;6;"30.04.";"pulse";10;NA;1959,6;9;"Low"
"544";106;7;"dity";198;6;"30.04.";"pulse";10;NA;4217,4;9;"HI"
"545";107;7;"dity";110;6;"30.04.";"pulse";10;NA;2343;9;"HI"
"546";108;7;"dity";112;6;"30.04.";"pulse";10;NA;2385,6;9;"HI"
"547";163;7;"dity";146;6;"30.04.";"pulse";10;NA;3109,8;12;"Low"
"548";164;7;"dity";130;6;"30.04.";"pulse";10;NA;2769;12;"Low"
"549";165;7;"dity";94;6;"30.04.";"pulse";10;NA;2002,2;12;"Low"
"550";166;7;"dity";98;6;"30.04.";"pulse";10;NA;2087,4;12;"HI"
"551";167;7;"dity";110;6;"30.04.";"pulse";10;NA;2343;12;"HI"
"552";168;7;"dity";124;6;"30.04.";"pulse";10;NA;2641,2;12;"HI"
"553";223;7;"dity";163;6;"30.04.";"pulse";10;NA;3471,9;15;"Low"
"554";224;7;"dity";123;6;"30.04.";"pulse";10;NA;2619,9;15;"Low"
"555";225;7;"dity";148;6;"30.04.";"pulse";10;NA;3152,4;15;"Low"
"556";226;7;"dity";90;6;"30.04.";"pulse";10;NA;1917;15;"HI"
"557";227;7;"dity";129;6;"30.04.";"pulse";10;NA;2747,7;15;"HI"
"558";228;7;"dity";118;6;"30.04.";"pulse";10;NA;2513,4;15;"HI"
"559";283;7;"dity";187;6;"30.04.";"pulse";10;NA;3983,1;18;"Low"
"560";284;7;"dity";122;6;"30.04.";"pulse";10;NA;2598,6;18;"Low"
"561";285;7;"dity";124;6;"30.04.";"pulse";10;NA;2641,2;18;"Low"
"562";286;7;"dity";183;6;"30.04.";"pulse";10;NA;3897,9;18;"HI"
"563";287;7;"dity";122;6;"30.04.";"pulse";10;NA;2598,6;18;"HI"
"564";288;7;"dity";170;6;"30.04.";"pulse";10;NA;3621;18;"HI"
"565";343;7;"dity";48;6;"30.04.";"pulse";10;NA;1022,4;21;"Low"
"566";344;7;"dity";49;6;"30.04.";"pulse";10;NA;1043,7;21;"Low"
"567";345;7;"dity";84;6;"30.04.";"pulse";10;NA;1789,2;21;"Low"
"568";346;7;"dity";71;6;"30.04.";"pulse";10;NA;1512,3;21;"HI"
"569";347;7;"dity";35;6;"30.04.";"pulse";10;NA;745,5;21;"HI"
"570";348;7;"dity";102;6;"30.04.";"pulse";10;NA;2172,6;21;"HI"
"571";103;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;9;"Low"
"572";104;7;"odontella";1;10;"30.04.";"pulse";10;NA;12,78;9;"Low"
"573";105;7;"odontella";1;10;"30.04.";"pulse";10;NA;12,78;9;"Low"
"574";106;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;9;"HI"
"575";107;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;9;"HI"
"576";108;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;9;"HI"
"577";163;7;"odontella";1;10;"30.04.";"pulse";10;NA;12,78;12;"Low"
"578";164;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;12;"Low"
"579";165;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;12;"Low"
"580";166;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;12;"HI"
"581";167;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;12;"HI"
"582";168;7;"odontella";3;10;"30.04.";"pulse";10;NA;38,34;12;"HI"
"583";223;7;"odontella";4;10;"30.04.";"pulse";10;NA;51,12;15;"Low"
"584";224;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;15;"Low"
"585";225;7;"odontella";1;10;"30.04.";"pulse";10;NA;12,78;15;"Low"
"586";226;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;15;"HI"
"587";227;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;15;"HI"
"588";228;7;"odontella";2;10;"30.04.";"pulse";10;NA;25,56;15;"HI"
"589";283;7;"odontella";1;10;"30.04.";"pulse";10;NA;12,78;18;"Low"
"590";284;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;18;"Low"
"591";285;7;"odontella";4;10;"30.04.";"pulse";10;NA;51,12;18;"Low"
"592";286;7;"odontella";0;10;"30.04.";"pulse";10;NA;0;18;"HI"
"593";287;7;"odontella";2;10;"30.04.";"pulse";10;NA;25,56;18;"HI"
"594";288;7;"odontella";11;10;"30.04.";"pulse";10;NA;140,58;18;"HI"
"595";343;7;"odontella";1;10;"30.04.";"pulse";10;"viel bakterien";12,78;21;"Low"
"596";344;7;"odontella";0;10;"30.04.";"pulse";10;"viel bakterien";0;21;"Low"
"597";345;7;"odontella";0;10;"30.04.";"pulse";10;"viel bakterien";0;21;"Low"
"598";346;7;"odontella";0;10;"30.04.";"pulse";10;"viel bakterien";0;21;"HI"
"599";347;7;"odontella";0;10;"30.04.";"pulse";10;"viel bakterien";0;21;"HI"
"600";348;7;"odontella";0;10;"30.04.";"pulse";10;"viel bakterien";0;21;"HI"
"601";97;8;"asterio";146;6;"02.05.";"mix";40;NA;49756,8;9;"Low"
"602";98;8;"asterio";93;6;"02.05.";"mix";40;NA;31694,4;9;"Low"
"603";99;8;"asterio";183;6;"02.05.";"mix";40;NA;62366,4;9;"Low"
"604";100;8;"asterio";94;6;"02.05.";"mix";40;NA;32035,2;9;"HI"
"605";101;8;"asterio";67;6;"02.05.";"mix";40;NA;22833,6;9;"HI"
"606";102;8;"asterio";69;6;"02.05.";"mix";40;NA;23515,2;9;"HI"
"607";157;8;"asterio";93;6;"02.05.";"mix";40;NA;31694,4;12;"Low"
"608";158;8;"asterio";65;6;"02.05.";"mix";40;NA;22152;12;"Low"
"609";159;8;"asterio";60;6;"02.05.";"mix";40;NA;20448;12;"Low"
"610";160;8;"asterio";36;6;"02.05.";"mix";40;NA;12268,8;12;"HI"
"611";161;8;"asterio";37;6;"02.05.";"mix";40;NA;12609,6;12;"HI"
"612";162;8;"asterio";48;6;"02.05.";"mix";40;NA;16358,4;12;"HI"
"613";217;8;"asterio";303;6;"02.05.";"mix";40;NA;103262,4;15;"Low"
"614";218;8;"asterio";300;6;"02.05.";"mix";40;NA;102240;15;"Low"
"615";219;8;"asterio";258;6;"02.05.";"mix";40;NA;87926,4;15;"Low"
"616";220;8;"asterio";167;6;"02.05.";"mix";40;NA;56913,6;15;"HI"
"617";221;8;"asterio";143;6;"02.05.";"mix";40;NA;48734,4;15;"HI"
"618";222;8;"asterio";148;6;"02.05.";"mix";40;NA;50438,4;15;"HI"
"619";277;8;"asterio";244;6;"02.05.";"mix";40;NA;83155,2;18;"Low"
"620";278;8;"asterio";284;6;"02.05.";"mix";40;NA;96787,2;18;"Low"
"621";279;8;"asterio";241;6;"02.05.";"mix";40;NA;82132,8;18;"Low"
"622";280;8;"asterio";73;6;"02.05.";"mix";40;NA;24878,4;18;"HI"
"623";281;8;"asterio";73;6;"02.05.";"mix";40;NA;24878,4;18;"HI"
"624";282;8;"asterio";86;6;"02.05.";"mix";40;NA;29308,8;18;"HI"
"625";337;8;"asterio";245;6;"02.05.";"mix";40;NA;83496;21;"Low"
"626";338;8;"asterio";311;6;"02.05.";"mix";40;NA;105988,8;21;"Low"
"627";339;8;"asterio";320;6;"02.05.";"mix";40;NA;109056;21;"Low"
"628";340;8;"asterio";214;6;"02.05.";"mix";40;NA;72931,2;21;"HI"
"629";341;8;"asterio";181;6;"02.05.";"mix";40;NA;61684,8;21;"HI"
"630";342;8;"asterio";253;6;"02.05.";"mix";40;NA;86222,4;21;"HI"
"631";97;8;"rhizo";4;6;"02.05.";"mix";20;NA;340,8;9;"Low"
"632";98;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;9;"Low"
"633";99;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;9;"Low"
"634";100;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;9;"HI"
"635";101;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;9;"HI"
"636";102;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;9;"HI"
"637";157;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;12;"Low"
"638";158;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;12;"Low"
"639";159;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;12;"Low"
"640";160;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;12;"HI"
"641";161;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;12;"HI"
"642";162;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;12;"HI"
"643";217;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;15;"Low"
"644";218;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;15;"Low"
"645";219;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;15;"Low"
"646";220;8;"rhizo";4;6;"02.05.";"mix";20;NA;340,8;15;"HI"
"647";221;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;15;"HI"
"648";222;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;15;"HI"
"649";277;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;18;"Low"
"650";278;8;"rhizo";1;6;"02.05.";"mix";20;NA;85,2;18;"Low"
"651";279;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;18;"Low"
"652";280;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;18;"HI"
"653";281;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;18;"HI"
"654";282;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;18;"HI"
"655";337;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"Low"
"656";338;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"Low"
"657";339;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"Low"
"658";340;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"HI"
"659";341;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"HI"
"660";342;8;"rhizo";0;6;"02.05.";"mix";20;NA;0;21;"HI"
"661";97;8;"guido";0;6;"02.05.";"mix";20;NA;0;9;"Low"
"662";98;8;"guido";0;6;"02.05.";"mix";20;NA;0;9;"Low"
"663";99;8;"guido";0;6;"02.05.";"mix";20;NA;0;9;"Low"
